id,round,teamId,serviceId,score,stolen,lost,attackerScore,victimScore
63969,210,16,1,2425.528731557152,63,599,643.1198643460599,-3217.5911327889094
63971,210,16,2,2190.681311164862,0,549,0,-2809.318688835145
63973,210,16,3,2340.086298103965,635,1320,4196.451704056567,-6856.365405952619
63972,210,16,4,5000,0,0,0,0
63974,210,16,5,11391.46162971915,2447,629,15686.56770009851,-9295.106070379366
63975,210,16,6,2082.6317343411943,1645,3256,17159.36960250093,-20076.737868159755
63976,210,16,7,2667.4030792124972,0,318,0,-2332.596920787501
63977,210,17,0,4650.822657872718,0,42,0,-349.177342127283
63979,210,17,1,201.93395582847086,0,1044,0,-4798.0660441715345
63980,210,17,2,2246.3792150204804,0,538,0,-2753.6207849795196
63978,210,17,3,6230.813663393915,1365,1002,8707.576314617198,-7476.76265122329
63981,210,17,4,5000,0,0,0,0
63985,210,17,5,4137.13473517934,1287,2033,13005.68637527879,-13868.551640099455
63984,210,17,6,1588.8658754444396,2219,2801,18788.186707367382,-22199.320831923014
63982,210,17,7,2153.705759594889,0,544,0,-2846.294240405122
63983,210,18,0,4640.278570550082,0,44,0,-359.72142944991936
63986,210,18,1,7359.328055227898,823,922,7807.211707545954,-5447.88365231806
63987,210,18,2,2079.289984486517,0,561,0,-2920.7100155134904
63988,210,18,3,10580.735464555848,1835,291,9756.120076022715,-4175.384611466837
63989,210,18,4,5000,0,0,0,0
63990,210,18,5,10978.033364349232,2020,178,8572.376185294199,-2594.3428209450162
63991,210,18,6,9589.515596963894,3354,811,17555.878875358496,-12966.36327839453
63992,210,18,7,2172.6855041632784,0,542,0,-2827.3144958367197
63993,210,19,0,4640.625446046739,0,44,0,-359.3745539532623
63994,210,19,1,158.24365292097693,0,1078,0,-4841.7563470790255
63995,210,19,2,4050.6470295055256,0,169,0,-949.3529704944752
63996,210,19,3,10082.414189820996,2033,243,8032.4368549005,-2950.022665079515
63997,210,19,4,5000,0,0,0,0
63999,210,19,5,11122.345754093672,2210,259,9960.5134274713,-3838.16767337765
63998,210,19,6,13038.03157235679,2863,255,11748.575997589907,-3710.5444252331313
64000,210,19,7,4544.351724769406,0,57,0,-455.6482752305933
64001,210,20,0,14936.123484860282,1220,0,9936.123484860349,0
64004,210,20,1,15825.545780426195,2794,47,11394.467659391472,-568.9218789652639
64005,210,20,2,16733.730098323245,1910,27,11999.046870301076,-265.31677197787735
64002,210,20,3,11163.13777232893,1877,60,7023.856780258128,-860.7190079291462
64003,210,20,4,5000,0,0,0,0
64006,210,20,5,9593.568704987887,2161,213,9110.3811848583,-4516.812479870353
64007,210,20,6,11689.570704217585,4012,368,15597.871215571278,-8908.300511353704
64008,210,20,7,14730.545532228456,1540,11,9843.096448466107,-112.55091623764046
64009,210,21,0,4636.203396459856,0,45,0,-363.79660354014493
64010,210,21,1,77.7737124194717,0,1160,0,-4922.226287580532
64011,210,21,2,2177.8125095715613,0,554,0,-2822.187490428439
64012,210,21,3,0,0,4864,0,-4999.999999999982
64014,210,21,4,5000,0,0,0,0
64013,210,21,5,0,0,5814,0,-5000.000000000006
64015,210,21,6,0,0,4266,0,-4999.99999999998
64016,210,21,7,2149.9053278850947,0,544,0,-2850.094672114909
64017,210,22,0,4636.19533431639,0,45,0,-363.80466568361123
64018,210,22,1,36.297877784075986,0,1188,0,-4963.702122215936
64019,210,22,2,2270.901996082414,0,538,0,-2729.0980039175865
64020,210,22,3,1141.1983242573444,871,2460,8530.609118247497,-12389.410793990217
64021,210,22,4,5000,0,0,0,0
64022,210,22,5,3092.5673772589917,1224,2853,12536.988857999819,-14444.421480740812
64024,210,22,6,0,0,4163,0,-4999.999999999982
64025,210,22,7,2104.8024300304846,0,553,0,-2895.1975699695126
64023,210,23,0,4657.0879060811385,0,42,0,-342.9120939188648
64026,210,23,1,103.16655354923681,0,1128,0,-4896.833446450771
64029,210,23,2,2187.8439154284697,0,564,0,-2812.156084571533
64030,210,23,3,0,80,4836,1351.2291904692324,-6351.2291904692265
64027,210,23,4,5000,0,0,0,0
64028,210,23,5,0,0,3154,0,-5000.000000000003
64031,210,23,6,0,0,4089,0,-4999.999999999985
64032,210,23,7,2181.4633307046297,0,544,0,-2818.5366692953644
64033,210,24,0,4641.5996908443,0,44,0,-358.4003091557005
