round,shortname,attackers,victims,firstBloodTeamId,firstBloodTimestamp
36,Diese-2,0,0,,
36,Diese-1,11,29,20,2024-10-10T09:02:01.279Z
36,duogesto,23,25,11,2024-10-10T09:03:16.013Z
36,Sanromolo,0,0,,
36,fonograph,9,32,20,2024-10-10T09:19:01.906Z
37,APT-Finals-1,0,0,,
37,CookingNonna,0,0,,
37,APT-Finals-2,0,0,,
37,Diese-1,13,29,20,2024-10-10T09:02:01.279Z
37,Diese-2,0,0,,
37,duogesto,24,23,11,2024-10-10T09:03:16.013Z
37,Sanromolo,0,0,,
37,fonograph,9,32,20,2024-10-10T09:19:01.906Z
38,APT-Finals-1,0,0,,
38,CookingNonna,0,0,,
38,APT-Finals-2,0,0,,
38,Diese-2,0,0,,
38,Diese-1,16,31,20,2024-10-10T09:02:01.279Z
38,duogesto,25,22,11,2024-10-10T09:03:16.013Z
38,fonograph,9,32,20,2024-10-10T09:19:01.906Z
38,Sanromolo,0,0,,
39,APT-Finals-1,0,0,,
39,CookingNonna,0,0,,
39,APT-Finals-2,0,0,,
39,Diese-2,0,0,,
39,Diese-1,16,33,20,2024-10-10T09:02:01.279Z
39,duogesto,25,23,11,2024-10-10T09:03:16.013Z
39,fonograph,10,32,20,2024-10-10T09:19:01.906Z
39,Sanromolo,0,0,,
40,APT-Finals-1,0,0,,
40,APT-Finals-2,0,0,,
40,Diese-1,18,32,20,2024-10-10T09:02:01.279Z
40,CookingNonna,0,0,,
40,Diese-2,0,0,,
40,duogesto,23,23,11,2024-10-10T09:03:16.013Z
40,Sanromolo,0,0,,
40,fonograph,11,31,20,2024-10-10T09:19:01.906Z
41,APT-Finals-1,0,0,,
41,APT-Finals-2,0,0,,
41,Diese-2,0,0,,
41,Diese-1,18,34,20,2024-10-10T09:02:01.279Z
41,CookingNonna,0,0,,
41,duogesto,24,26,11,2024-10-10T09:03:16.013Z
41,Sanromolo,0,0,,
41,fonograph,10,31,20,2024-10-10T09:19:01.906Z
42,APT-Finals-1,0,0,,
42,Diese-2,0,0,,
42,CookingNonna,0,0,,
42,APT-Finals-2,0,0,,
42,Diese-1,19,31,20,2024-10-10T09:02:01.279Z
42,duogesto,25,25,11,2024-10-10T09:03:16.013Z
42,Sanromolo,0,0,,
42,fonograph,9,32,20,2024-10-10T09:19:01.906Z
43,APT-Finals-1,0,0,,
43,APT-Finals-2,0,0,,
43,CookingNonna,0,0,,
43,Diese-1,19,32,20,2024-10-10T09:02:01.279Z
43,Diese-2,0,0,,
43,duogesto,27,24,11,2024-10-10T09:03:16.013Z
43,fonograph,10,32,20,2024-10-10T09:19:01.906Z
43,Sanromolo,0,0,,
44,APT-Finals-1,0,0,,
44,APT-Finals-2,0,0,,
44,CookingNonna,0,0,,
44,Diese-1,20,32,20,2024-10-10T09:02:01.279Z
44,Diese-2,0,0,,
44,duogesto,26,23,11,2024-10-10T09:03:16.013Z
44,fonograph,10,31,20,2024-10-10T09:19:01.906Z
44,Sanromolo,0,0,,
45,APT-Finals-1,0,0,,
45,CookingNonna,0,0,,
45,APT-Finals-2,0,0,,
45,Diese-1,19,31,20,2024-10-10T09:02:01.279Z
45,Diese-2,0,0,,
45,duogesto,26,22,11,2024-10-10T09:03:16.013Z
45,fonograph,10,31,20,2024-10-10T09:19:01.906Z
45,Sanromolo,0,0,,
46,APT-Finals-1,0,0,,
46,CookingNonna,0,0,,
46,Diese-1,19,31,20,2024-10-10T09:02:01.279Z
46,Diese-2,0,0,,
46,APT-Finals-2,0,0,,
46,duogesto,26,25,11,2024-10-10T09:03:16.013Z
46,fonograph,11,31,20,2024-10-10T09:19:01.906Z
46,Sanromolo,0,0,,
47,APT-Finals-1,0,0,,
47,CookingNonna,0,0,,
47,Diese-2,0,0,,
47,APT-Finals-2,0,0,,
47,Diese-1,18,32,20,2024-10-10T09:02:01.279Z
47,duogesto,27,23,11,2024-10-10T09:03:16.013Z
47,Sanromolo,0,0,,
47,fonograph,13,31,20,2024-10-10T09:19:01.906Z
48,APT-Finals-1,0,0,,
48,CookingNonna,0,0,,
48,APT-Finals-2,0,0,,
48,Diese-1,19,31,20,2024-10-10T09:02:01.279Z
48,Diese-2,0,0,,
48,duogesto,29,22,11,2024-10-10T09:03:16.013Z
48,fonograph,14,31,20,2024-10-10T09:19:01.906Z
48,Sanromolo,0,0,,
49,APT-Finals-1,0,0,,
49,CookingNonna,0,0,,
49,APT-Finals-2,0,0,,
49,Diese-2,0,0,,
49,Diese-1,18,32,20,2024-10-10T09:02:01.279Z
49,duogesto,28,24,11,2024-10-10T09:03:16.013Z
49,fonograph,14,31,20,2024-10-10T09:19:01.906Z
49,Sanromolo,0,0,,
50,APT-Finals-1,0,0,,
